"MacroTrends Data Download"
"GOOGL - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2005-03-29,4.4967,4.552,4.4226,4.4599,6426104
2005-03-30,4.4865,4.5067,4.4607,4.4818,6193678
2005-03-31,4.4196,4.5051,4.4119,4.4832,6717776
2005-04-01,4.5069,4.5439,4.4704,4.4716,6149393
2005-04-04,4.4694,4.6027,4.4666,4.602,8016106
2005-04-05,4.6665,4.7254,4.6586,4.6834,8676567
2005-04-06,4.6864,4.7103,4.6589,4.6996,5238791
2005-04-07,4.6887,4.8337,4.6851,4.8123,9620040
2005-04-08,4.8106,4.8457,4.755,4.7699,5078111
2005-04-11,4.7957,4.8382,4.7766,4.7992,5370422
2005-04-12,4.7935,4.8288,4.7044,4.8172,7265895
2005-04-13,4.8051,4.8262,4.7122,4.7917,6506557
2005-04-14,4.7935,4.8273,4.7215,4.755,6108487
2005-04-15,4.7215,4.7274,4.5864,4.5948,11493013
2005-04-18,4.5938,4.6663,4.5573,4.6437,6502538
2005-04-19,4.7023,4.7686,4.67,4.7537,8436857
2005-04-20,4.932,4.9797,4.8657,4.9201,15343579
2005-04-21,4.9777,5.0915,4.9504,5.0721,17869949
2005-04-22,5.5262,5.5634,5.3215,5.36,32958541
2005-04-25,5.4069,5.5818,5.4024,5.5517,19687665
2005-04-26,5.4695,5.5137,5.4216,5.433,17146249
2005-04-27,5.4141,5.4852,5.3831,5.4586,10217983
2005-04-28,5.4531,5.5157,5.4072,5.4504,8619247
2005-04-29,5.5179,5.5199,5.4099,5.464,9105491
2005-05-02,5.5149,5.5559,5.4692,5.5209,9696215
2005-05-03,5.51,5.6665,5.4968,5.6178,17654936
2005-05-04,5.6436,5.7094,5.6378,5.6751,12068965
2005-05-05,5.6781,5.6781,5.6101,5.6374,7455865
2005-05-06,5.6726,5.6937,5.6247,5.6632,6717301
2005-05-09,5.6628,5.6752,5.599,5.6136,5493863
2005-05-10,5.5945,5.6578,5.5814,5.6578,6297679
2005-05-11,5.6868,5.7615,5.6609,5.7444,11392484
2005-05-12,5.7301,5.7678,5.6677,5.6806,8882344
2005-05-13,5.692,5.7394,5.6459,5.6935,7360456
2005-05-16,5.7045,5.7527,5.6769,5.7385,5638717
2005-05-17,5.7258,5.798,5.7173,5.7901,7747592
2005-05-18,5.8021,5.96,5.7998,5.9399,12219457
2005-05-19,5.9692,5.9898,5.9178,5.9404,9643558
2005-05-20,5.9852,6.0023,5.9521,6.0008,8110015
2005-05-23,6.0407,6.4104,6.0281,6.3445,21228960
2005-05-24,6.3793,6.5927,6.2961,6.3582,28828442
2005-05-25,6.2769,6.4818,6.2248,6.4776,17922413
2005-05-26,6.4813,6.5509,6.4152,6.4377,13445158
2005-05-27,6.4689,6.6077,6.4389,6.6065,12092069
2005-05-31,6.6917,6.9145,6.6902,6.8864,22110034
2005-06-01,7.03,7.2744,7.0044,7.1338,34940841
2005-06-02,7.174,7.1971,7.0684,7.1504,17841474
2005-06-03,7.123,7.1852,6.8899,6.9607,18669338
2005-06-06,7.0128,7.2957,6.9996,7.2259,22362775
2005-06-07,7.3889,7.4408,7.2101,7.2801,24144047
2005-06-08,7.2734,7.2818,6.9046,6.9433,25585056
2005-06-09,7.0715,7.1654,6.9682,7.111,16320809
2005-06-10,7.1281,7.135,6.9547,7.0163,12603361
2005-06-13,6.9497,7.0583,6.8678,7.0225,12711269
2005-06-14,6.9194,6.9851,6.8984,6.9133,10038146
2005-06-15,6.8301,6.8872,6.6421,6.8251,20728775
2005-06-16,6.8117,6.9121,6.7822,6.8907,12376078
2005-06-17,6.9294,6.9617,6.8524,6.9617,10366976
2005-06-20,6.8571,7.1447,6.7488,7.1206,20884642
2005-06-21,7.1547,7.2101,7.0777,7.149,15022270
2005-06-22,7.1949,7.2602,7.1696,7.1852,10426633
2005-06-23,7.1507,7.3221,7.1157,7.1954,13954733
2005-06-24,7.2263,7.4013,7.1922,7.3827,18051968
2005-06-27,7.4261,7.562,7.2985,7.5528,17693867
2005-06-28,7.6139,7.6807,7.5006,7.5006,18920442
2005-06-29,7.5173,7.5598,7.2561,7.2702,18167693
2005-06-30,7.3104,7.4245,7.2285,7.3057,14990631
2005-07-01,7.3287,7.3575,7.1832,7.2336,9158267
2005-07-05,7.2547,7.3511,7.2083,7.3444,7432712
2005-07-06,7.384,7.3914,7.2369,7.2405,7943027
2005-07-07,7.1875,7.3467,7.1656,7.3402,10592042
2005-07-08,7.3518,7.3888,7.3032,7.3573,7401570
2005-07-11,7.3616,7.3665,7.2279,7.2858,8331922
2005-07-12,7.2868,7.3119,7.2257,7.2469,5824691
2005-07-13,7.2649,7.4321,7.2547,7.4226,11355700
2005-07-14,7.5836,7.6186,7.4527,7.4731,10591749
2005-07-15,7.4817,7.5354,7.4455,7.4805,8380246
2005-07-18,7.4509,7.4981,7.395,7.4395,6162679
2005-07-19,7.5032,7.7081,7.4957,7.6969,12541304
2005-07-20,7.5893,7.7641,7.4957,7.749,14226943
2005-07-21,7.7999,7.8931,7.7294,7.7972,20265819
2005-07-22,7.6139,7.6807,7.3598,7.5106,23215734
2005-07-25,7.5103,7.5327,7.3258,7.3479,9586313
2005-07-26,7.3271,7.4013,7.2546,7.354,9758286
2005-07-27,7.407,7.407,7.2622,7.3747,7312510
2005-07-28,7.3866,7.3866,7.284,7.2895,5882509
2005-07-29,7.2732,7.2732,7.1279,7.147,8303339
2005-08-01,7.1559,7.2647,7.1554,7.2426,5620731
2005-08-02,7.2386,7.439,7.2304,7.4308,7237508
2005-08-03,7.4013,7.444,7.3417,7.3839,5890254
2005-08-04,7.3405,7.4261,7.333,7.3946,5231956
2005-08-05,7.3889,7.414,7.2352,7.261,5897038
2005-08-08,7.292,7.3429,7.2147,7.2336,4448829
2005-08-09,7.2513,7.2692,7.1656,7.2416,5737368
2005-08-10,7.2349,7.2605,7.0754,7.0953,6936611
2005-08-11,7.1005,7.1176,6.9696,7.0548,7458643
2005-08-12,7.0377,7.2076,6.995,7.1957,6538037
2005-08-15,7.1977,7.2714,7.0479,7.0536,8110328
2005-08-16,7.0755,7.1478,7.0372,7.0946,7055770
2005-08-17,7.0911,7.1174,7.0536,7.0809,3855248
2005-08-18,6.8542,6.9667,6.8301,6.954,11812872
2005-08-19,6.9788,6.9902,6.9448,6.9542,5567586
2005-08-22,6.9811,6.9908,6.7891,6.8055,6821653
2005-08-23,6.8589,6.9478,6.8082,6.9438,5798691
2005-08-24,6.8939,7.0722,6.8661,7.0181,8526051
2005-08-25,7.0176,7.0536,6.9535,7.0186,4345167
2005-08-26,7.0407,7.0789,7.0203,7.0431,3725749
2005-08-29,7.0099,7.1807,7.0099,7.1641,5857472
2005-08-30,7.1378,7.1904,7.1003,7.1348,4755162
2005-08-31,7.1587,7.1654,7.0626,7.1034,4995368
2005-09-01,7.1011,7.1405,7.0785,7.1095,2720647
2005-09-02,7.1159,7.2023,7.1142,7.1641,3407492
2005-09-06,7.1777,7.1874,7.1231,7.1308,4180299
2005-09-07,7.1006,7.3392,7.0854,7.3236,7440138
2005-09-08,7.3226,7.4331,7.2861,7.3365,6561100
2005-09-09,7.3834,7.4286,7.3657,7.4284,4357602
2005-09-12,7.4945,7.7346,7.4758,7.6929,10298308
2005-09-13,7.6745,7.8367,7.6042,7.7411,10213512
2005-09-14,7.6678,7.7808,7.4584,7.5255,11188761
2005-09-15,7.439,7.6186,7.399,7.516,15343129
2005-09-16,7.5508,7.5627,7.4478,7.4559,7522436
2005-09-19,7.4758,7.6,7.4686,7.5451,5718744
2005-09-20,7.6037,7.7316,7.5809,7.6475,9324649
2005-09-21,7.6598,7.7927,7.599,7.7465,10030511
2005-09-22,7.7366,7.9284,7.7036,7.7334,12908832
2005-09-23,7.7739,7.8785,7.7637,7.8325,8418538
2005-09-26,7.9353,7.9713,7.7629,7.8057,9819275
2005-09-27,7.8223,7.9082,7.7833,7.7972,6821385
2005-09-28,7.8042,7.826,7.5901,7.6,7934282
2005-09-29,7.6169,7.7172,7.602,7.6899,5571110
2005-09-30,7.8042,7.8856,7.7562,7.8598,9102554
2005-10-03,7.7895,7.9504,7.7686,7.9149,9090836
2005-10-04,7.9465,7.9797,7.7177,7.7242,9075791
2005-10-05,7.7662,7.8211,7.6497,7.717,8263978
